date,state,fips,cases,deaths
2020-10-07,Alabama,01,161418,2601
2020-10-07,Alaska,02,9784,55
2020-10-07,Arizona,04,222558,5733
2020-10-07,Arkansas,05,88880,1482
2020-10-07,California,06,843732,16358
2020-10-07,Colorado,08,75410,2097
2020-10-07,Connecticut,09,59364,4522
2020-10-07,Delaware,10,21550,649
2020-10-07,District of Columbia,11,15697,632
2020-10-07,Florida,12,722699,14903
2020-10-07,Georgia,13,330769,7089
2020-10-07,Guam,66,3837,58
2020-10-07,Hawaii,15,13196,162
2020-10-07,Idaho,16,46233,502
2020-10-07,Illinois,17,311614,9138
2020-10-07,Indiana,18,130569,3727
2020-10-07,Iowa,19,95205,1419
2020-10-07,Kansas,20,65131,725
2020-10-07,Kentucky,21,78669,1261
2020-10-07,Louisiana,22,172625,5604
2020-10-07,Maine,23,5604,142
2020-10-07,Maryland,24,129158,3973
2020-10-07,Massachusetts,25,136492,9557
2020-10-07,Michigan,26,145131,7171
2020-10-07,Minnesota,27,106704,2154
2020-10-07,Mississippi,28,102241,3051
2020-10-07,Missouri,29,141262,2334
2020-10-07,Montana,30,16194,193
2020-10-07,Nebraska,31,49396,516
2020-10-07,Nevada,32,83500,1639
2020-10-07,New Hampshire,33,8800,448
2020-10-07,New Jersey,34,211638,16152
2020-10-07,New Mexico,35,31372,896
2020-10-07,New York,36,472994,32850
2020-10-07,North Carolina,37,223349,3716
2020-10-07,North Dakota,38,24861,308
2020-10-07,Northern Mariana Islands,69,75,2
2020-10-07,Ohio,39,162723,4970
2020-10-07,Oklahoma,40,94352,1075
2020-10-07,Oregon,41,35646,585
2020-10-07,Pennsylvania,42,171550,8347
2020-10-07,Puerto Rico,72,51768,705
2020-10-07,Rhode Island,44,25776,1126
2020-10-07,South Carolina,45,153705,3502
2020-10-07,South Dakota,46,25906,258
2020-10-07,Tennessee,47,204286,2615
2020-10-07,Texas,48,816848,16747
2020-10-07,Utah,49,80522,499
2020-10-07,Vermont,50,1827,58
2020-10-07,Virgin Islands,78,1322,20
2020-10-07,Virginia,51,153691,3303
2020-10-07,Washington,53,95500,2274
2020-10-07,West Virginia,54,17139,369
2020-10-07,Wisconsin,55,146376,1427
2020-10-07,Wyoming,56,6899,53
2020-10-08,Alabama,01,161975,2637
2020-10-08,Alaska,02,9919,56
2020-10-08,Arizona,04,223407,5743
2020-10-08,Arkansas,05,90145,1503
2020-10-08,California,06,847384,16425
2020-10-08,Colorado,08,76186,2107
2020-10-08,Connecticut,09,59748,4527
2020-10-08,Delaware,10,21682,651
2020-10-08,District of Columbia,11,15765,634
2020-10-08,Florida,12,726005,15067
2020-10-08,Georgia,13,332142,7125
2020-10-08,Guam,66,3903,59
2020-10-08,Hawaii,15,13297,163
2020-10-08,Idaho,16,46848,504
2020-10-08,Illinois,17,314725,9173
2020-10-08,Indiana,18,132030,3742
2020-10-08,Iowa,19,96749,1433
2020-10-08,Kansas,20,65296,741
2020-10-08,Kentucky,21,79550,1272
2020-10-08,Louisiana,22,173149,5609
2020-10-08,Maine,23,5639,142
2020-10-08,Maryland,24,129919,3979
2020-10-08,Massachusetts,25,136936,9565
2020-10-08,Michigan,26,146548,7194
2020-10-08,Minnesota,27,107975,2160
2020-10-08,Mississippi,28,102819,3074
2020-10-08,Missouri,29,142732,2360
2020-10-08,Montana,30,16766,197
2020-10-08,Nebraska,31,50059,518
2020-10-08,Nevada,32,83971,1650
2020-10-08,New Hampshire,33,8878,448
2020-10-08,New Jersey,34,212936,16161
2020-10-08,New Mexico,35,31756,899
2020-10-08,New York,36,474829,32859
2020-10-08,North Carolina,37,225738,3744
2020-10-08,North Dakota,38,25388,314
2020-10-08,Northern Mariana Islands,69,75,2
2020-10-08,Ohio,39,164262,4983
2020-10-08,Oklahoma,40,95564,1085
2020-10-08,Oregon,41,36121,596
2020-10-08,Pennsylvania,42,172971,8372
2020-10-08,Puerto Rico,72,52294,715
2020-10-08,Rhode Island,44,26045,1127
2020-10-08,South Carolina,45,154755,3514
2020-10-08,South Dakota,46,26441,272
2020-10-08,Tennessee,47,206265,2676
2020-10-08,Texas,48,821406,16853
2020-10-08,Utah,49,81975,504
2020-10-08,Vermont,50,1838,58
2020-10-08,Virgin Islands,78,1324,20
2020-10-08,Virginia,51,155535,3328
2020-10-08,Washington,53,96227,2280
2020-10-08,West Virginia,54,17325,370
2020-10-08,Wisconsin,55,149613,1436
2020-10-08,Wyoming,56,7092,54
2020-10-09,Alabama,01,163465,2653
2020-10-09,Alaska,02,10099,56
2020-10-09,Arizona,04,224101,5746
2020-10-09,Arkansas,05,91312,1530
2020-10-09,California,06,851228,16502
2020-10-09,Colorado,08,77068,2115
2020-10-09,Connecticut,09,60038,4530
2020-10-09,Delaware,10,21827,651
2020-10-09,District of Columbia,11,15843,634
2020-10-09,Florida,12,728913,15185
2020-10-09,Georgia,13,333934,7178
